symbol,instrument_key
Newgen Software Technologies Ltd,NSE_EQ|INE619B01017
Nippon Life India Asset Management Ltd,NSE_EQ|INE298J01013
Niva Bupa Health Insurance Company Ltd,NSE_EQ|INE995S01015
Nuvama Wealth Management Ltd,NSE_EQ|INE531F01023
Nuvoco Vistas Corporation Ltd,NSE_EQ|INE118D01016
Oberoi Realty Ltd,NSE_EQ|INE093I01010
Oil & Natural Gas Corporation Ltd,NSE_EQ|INE213A01029
Oil India Ltd,NSE_EQ|INE274J01014
Ola Electric Mobility Ltd,NSE_EQ|INE0LXG01040
Olectra Greentech Ltd,NSE_EQ|INE260D01016
One 97 Communications Ltd,NSE_EQ|INE982J01020
Onesource Specialty Pharma Ltd,NSE_EQ|INE013P01021
Oracle Financial Services Software Ltd,NSE_EQ|INE881D01027
PB Fintech Ltd,NSE_EQ|INE417T01026
PCBL Chemical Ltd,NSE_EQ|INE602A01031
PG Electroplast Ltd,NSE_EQ|INE457L01029
PI Industries Ltd,NSE_EQ|INE603J01030
PNB Housing Finance Ltd,NSE_EQ|INE572E01012
PTC Industries Ltd,NSE_EQ|INE596F01018
PVR INOX Ltd,NSE_EQ|INE191H01014
Page Industries Ltd,NSE_EQ|INE761H01022
Patanjali Foods Ltd,NSE_EQ|INE619A01035
Persistent Systems Ltd,NSE_EQ|INE262H01021
Petronet LNG Ltd,NSE_EQ|INE347G01014
Pfizer Ltd,NSE_EQ|INE182A01018
Phoenix Mills Ltd,NSE_EQ|INE211B01039
Pidilite Industries Ltd,NSE_EQ|INE318A01026
Piramal Pharma Ltd,NSE_EQ|INE0DK501011
Poly Medicure Ltd,NSE_EQ|INE205C01021
Polycab India Ltd,NSE_EQ|INE455K01017
Poonawalla Fincorp Ltd,NSE_EQ|INE511C01022
Power Finance Corporation Ltd,NSE_EQ|INE134E01011
Power Grid Corporation of India Ltd,NSE_EQ|INE752E01010
Praj Industries Ltd,NSE_EQ|INE074A01025
Premier Energies Ltd,NSE_EQ|INE0BS701011
Prestige Estates Projects Ltd,NSE_EQ|INE811K01011
Procter & Gamble Hygiene & Health Care Ltd,NSE_EQ|INE179A01014
Punjab National Bank,NSE_EQ|INE160A01022
R R Kabel Ltd,NSE_EQ|INE777K01022
RBL Bank Ltd,NSE_EQ|INE976G01028
REC Ltd,NSE_EQ|INE020B01018
RHI MAGNESITA INDIA LTD,NSE_EQ|INE743M01012
RITES Ltd,NSE_EQ|INE320J01015
Radico Khaitan Ltd,NSE_EQ|INE944F01028
Rail Vikas Nigam Ltd,NSE_EQ|INE415G01027
Railtel Corporation Of India Ltd,NSE_EQ|INE0DD101019
Rainbow Childrens Medicare Ltd,NSE_EQ|INE961O01016
Ramkrishna Forgings Ltd,NSE_EQ|INE399G01023
Rashtriya Chemicals & Fertilizers Ltd,NSE_EQ|INE027A01015
Redington Ltd,NSE_EQ|INE891D01026
Reliance Industries Ltd,NSE_EQ|INE002A01018
Reliance Infrastructure Ltd,NSE_EQ|INE036A01016
Reliance Power Ltd,NSE_EQ|INE614G01033
SBFC Finance Ltd,NSE_EQ|INE423Y01016
SBI Cards and Payment Services Ltd,NSE_EQ|INE018E01016
SBI Life Insurance Company Ltd,NSE_EQ|INE123W01016
SJVN Ltd,NSE_EQ|INE002L01015
SKF India Ltd,NSE_EQ|INE640A01023
SRF Ltd,NSE_EQ|INE647A01010
Sagility Ltd,NSE_EQ|INE0W2G01015
Sai Life Sciences Ltd,NSE_EQ|INE570L01029
Sammaan Capital Ltd,NSE_EQ|INE148I01020
Samvardhana Motherson International Ltd,NSE_EQ|INE775A01035
Sapphire Foods India Ltd,NSE_EQ|INE806T01020
Sarda Energy and Minerals Ltd,NSE_EQ|INE385C01021
Saregama India Ltd,NSE_EQ|INE979A01025
Schaeffler India Ltd,NSE_EQ|INE513A01022
Schneider Electric Infrastructure Ltd,NSE_EQ|INE839M01018
Shipping Corporation of India Ltd,NSE_EQ|INE109A01011
Shree Cement Ltd,NSE_EQ|INE070A01015
Shriram Finance Ltd,NSE_EQ|INE721A01047
Shyam Metalics and Energy Ltd,NSE_EQ|INE810G01011
Siemens Energy India Ltd,NSE_EQ|INE1NPP01017
Siemens Ltd,NSE_EQ|INE003A01024
Signatureglobal (India) Ltd,NSE_EQ|INE903U01023
Sobha Ltd,NSE_EQ|INE671H01015
Solar Industries India Ltd,NSE_EQ|INE343H01029
Sona BLW Precision Forgings Ltd,NSE_EQ|INE073K01018
Sonata Software Ltd,NSE_EQ|INE269A01021
Star Health and Allied Insurance Company Ltd,NSE_EQ|INE575P01011
State Bank of India,NSE_EQ|INE062A01020
Steel Authority of India Ltd,NSE_EQ|INE114A01011
Sumitomo Chemical India Ltd,NSE_EQ|INE258G01013
Sun Pharmaceutical Industries Ltd,NSE_EQ|INE044A01036
Sun TV Network Ltd,NSE_EQ|INE424H01027
Sundaram Finance Ltd,NSE_EQ|INE660A01013
Sundram Fasteners Ltd,NSE_EQ|INE387A01021
Supreme Industries Ltd,NSE_EQ|INE195A01028
Suzlon Energy Ltd,NSE_EQ|INE040H01021
Swan Corp Ltd,NSE_EQ|INE665A01038
Swiggy Ltd,NSE_EQ|INE00H001014
Syngene International Ltd,NSE_EQ|INE398R01022
Syrma SGS Technology Ltd,NSE_EQ|INE0DYJ01015
TBO Tek Ltd,NSE_EQ|INE673O01025
TVS Motor Company Ltd,NSE_EQ|INE494B01023
Tata Chemicals Ltd,NSE_EQ|INE092A01019
Tata Communications Ltd,NSE_EQ|INE151A01013
Tata Consultancy Services Ltd,NSE_EQ|INE467B01029
Tata Consumer Products Ltd,NSE_EQ|INE192A01025
Tata Elxsi Ltd,NSE_EQ|INE670A01012
Tata Investment Corporation Ltd,NSE_EQ|INE672A01026
Tata Motors Passenger Vehicles Ltd,NSE_EQ|INE155A01022
Tata Power Co Ltd,NSE_EQ|INE245A01021
Tata Steel Ltd,NSE_EQ|INE081A01020
Tata Technologies Ltd,NSE_EQ|INE142M01025
Tata Teleservices (Maharashtra) Ltd,NSE_EQ|INE517B01013
Tech Mahindra Ltd,NSE_EQ|INE669C01036
Techno Electric & Engineering Company Ltd,NSE_EQ|INE285K01026
Tejas Networks Ltd,NSE_EQ|INE010J01012
The New India Assurance Company Ltd,NSE_EQ|INE470Y01017
The Ramco Cements Ltd,NSE_EQ|INE331A01037
Thermax Ltd,NSE_EQ|INE152A01029
Timken India Ltd,NSE_EQ|INE325A01013
Titagarh Rail Systems Ltd,NSE_EQ|INE615H01020
Titan Company Ltd,NSE_EQ|INE280A01028
Torrent Pharmaceuticals Ltd,NSE_EQ|INE685A01028
Torrent Power Ltd,NSE_EQ|INE813H01021
Transformers And Rectifiers (India) Ltd,NSE_EQ|INE763I01026
Trent Ltd,NSE_EQ|INE849A01020
Trident Ltd,NSE_EQ|INE064C01022
Triveni Engineering & Industries Ltd,NSE_EQ|INE256C01024
Triveni Turbine Ltd,NSE_EQ|INE152M01016
Tube Investments of India Ltd,NSE_EQ|INE974X01010
UCO Bank,NSE_EQ|INE691A01018
UNO Minda Ltd,NSE_EQ|INE405E01023
UPL Ltd,NSE_EQ|INE628A01036
UTI Asset Management Company Ltd,NSE_EQ|INE094J01016
UltraTech Cement Ltd,NSE_EQ|INE481G01011
Union Bank of India,NSE_EQ|INE692A01016
United Breweries Ltd,NSE_EQ|INE686F01025
United Spirits Ltd,NSE_EQ|INE854D01024
Usha Martin Ltd,NSE_EQ|INE228A01035
V-Guard Industries Ltd,NSE_EQ|INE951I01027
Valor Estate Ltd,NSE_EQ|INE879I01012
Vardhman Textiles Ltd,NSE_EQ|INE825A01020
Varun Beverages Ltd,NSE_EQ|INE200M01039
Vedant Fashions Ltd,NSE_EQ|INE825V01034
Vedanta Ltd,NSE_EQ|INE205A01025
Ventive Hospitality Ltd,NSE_EQ|INE781S01027
Vijaya Diagnostic Centre Ltd,NSE_EQ|INE043W01024
Vishal Mega Mart Ltd,NSE_EQ|INE01EA01019
Vodafone Idea Ltd,NSE_EQ|INE669E01016
Voltas Ltd,NSE_EQ|INE226A01021
Waaree Energies Ltd,NSE_EQ|INE377N01017
Welspun Corp Ltd,NSE_EQ|INE191B01025
