instrument_id,instrument_key,symbol,series,exchange,company_name,sector,isin_code,is_active
1085,NSE_EQ|INE631A01022,SHANTIGEAR,EQ,NSE,SHANTHI GEARS LTD,Others,INE631A01022,True
634,NSE_EQ|INE06ZD01017,SHANTIGOLD,EQ,NSE,SHANTI GOLD INTERNATION L,Others,INE06ZD01017,True
1377,NSE_EQ|INE221J01015,SHARDACROP,EQ,NSE,SHARDA CROPCHEM LTD.,Others,INE221J01015,True
2511,NSE_EQ|INE597I01028,SHARDAMOTR,EQ,NSE,SHARDA MOTOR INDS LTD,Others,INE597I01028,True
754,NSE_EQ|INE037B01020,SHARDUL,EQ,NSE,SHARDUL SECURITIES LTD.,Others,INE037B01020,True
539,NSE_EQ|INE932X01026,SHAREINDIA,EQ,NSE,SHARE IND. SECURITIES LTD,Others,INE932X01026,True
695,NSE_EQ|INF732E01128,SHARIABEES,EQ,NSE,NIP IND ETF SHARIAH BEES,Others,INF732E01128,True
622,NSE_EQ|INE402H01015,SHBAJRG,EQ,NSE,SHRI BAJRANG ALLIANCE L,Others,INE402H01015,True
4132,NSE_EQ|INE0YJV01017,SHEEL,SM,NSE,SHEEL BIOTECH LIMITED,Others,INE0YJV01017,True
4310,NSE_EQ|INE04VX01019,SHEETAL,SM,NSE,SHEETAL UNIVERSAL LIMITED,Others,INE04VX01019,True
8775,NSE_EQ|INE268L01046,SHEKHAWATI,BE,NSE,SHEKHAWATI INDUSTRIES LTD,Others,INE268L01046,True
1083,NSE_EQ|INE363M01019,SHEMAROO,EQ,NSE,SHEMAROO ENTER. LTD.,Others,INE363M01019,True
5248,NSE_EQ|INE0MM001019,SHERA,ST,NSE,SHERA ENERGY LIMITED,Others,INE0MM001019,True
8920,NSE_EQ|INE1FL101016,SHETHJI,ST,NSE,SHREEJI GLOBAL FMCG LTD,Others,INE1FL101016,True
4110,NSE_EQ|INE03KJ01013,SHIGAN,SM,NSE,SHIGAN QUANTUM TECH LTD,Others,INE03KJ01013,True
1032,NSE_EQ|INE024F01011,SHILCTECH,EQ,NSE,SHILCHAR TECHNOLOGIES LTD,Others,INE024F01011,True
2395,NSE_EQ|INE790G01031,SHILPAMED,EQ,NSE,SHILPA MEDICARE LTD,Others,INE790G01031,True
